epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,833.317,0.77135,0.64834,1.12709,0.81419,0.81198,0.87553,0.63524,1.06479,1.58472,1.17016,0.000500302,0.000500302,0.000500302
62,846.698,0.77945,0.64422,1.12355,0.83452,0.80616,0.88765,0.65543,0.93948,1.32706,1.10306,0.000495824,0.000495824,0.000495824
63,860.096,0.74778,0.61722,1.11181,0.79484,0.765,0.85685,0.64468,0.98598,1.52735,1.11827,0.000491346,0.000491346,0.000491346
64,873.474,0.73612,0.61714,1.10578,0.79646,0.82221,0.89663,0.68088,0.89305,1.26995,1.10017,0.000486867,0.000486867,0.000486867
65,886.877,0.74303,0.61798,1.10508,0.78568,0.80616,0.8849,0.64239,1.09907,1.43468,1.16174,0.000482389,0.000482389,0.000482389
66,900.334,0.73342,0.60943,1.10807,0.8314,0.74168,0.84435,0.64965,0.93558,1.68579,1.10153,0.000477911,0.000477911,0.000477911
67,913.937,0.72983,0.61212,1.11167,0.78836,0.81055,0.86512,0.65321,0.99061,1.51169,1.10412,0.000473433,0.000473433,0.000473433
68,927.444,0.72771,0.60135,1.10797,0.73531,0.79391,0.84818,0.62834,1.06859,1.50455,1.16268,0.000468954,0.000468954,0.000468954
69,940.87,0.73208,0.62217,1.10544,0.80117,0.77876,0.85382,0.6523,0.99048,1.52498,1.11146,0.000464476,0.000464476,0.000464476
70,954.181,0.72576,0.59636,1.09018,0.82014,0.81956,0.88624,0.69288,0.87668,1.29263,1.06864,0.000459998,0.000459998,0.000459998
71,967.627,0.73049,0.60295,1.10642,0.80771,0.77068,0.84237,0.62912,1.0088,1.591,1.12614,0.000455519,0.000455519,0.000455519
72,981.035,0.70866,0.59409,1.09137,0.80626,0.79334,0.88866,0.67373,0.97011,1.46769,1.09476,0.000451041,0.000451041,0.000451041
73,994.51,0.71007,0.57984,1.08643,0.76857,0.77749,0.85784,0.63833,1.04551,1.56486,1.12813,0.000446563,0.000446563,0.000446563
74,1008.01,0.71066,0.58918,1.09768,0.7817,0.75803,0.85942,0.67342,0.92388,1.5882,1.06036,0.000442085,0.000442085,0.000442085
75,1021.46,0.6991,0.57022,1.08737,0.72308,0.62968,0.73845,0.55255,1.11115,2.26703,1.16956,0.000437606,0.000437606,0.000437606
76,1034.99,0.69937,0.58115,1.08935,0.80555,0.74934,0.84214,0.65139,0.97955,1.5559,1.08706,0.000433128,0.000433128,0.000433128
77,1048.46,0.70485,0.57756,1.08724,0.80487,0.7652,0.82673,0.63549,0.96924,1.70193,1.0976,0.00042865,0.00042865,0.00042865
78,1061.91,0.69761,0.5726,1.08451,0.77922,0.69988,0.80378,0.62229,0.99047,1.95833,1.09117,0.000424171,0.000424171,0.000424171
79,1075.28,0.68545,0.55508,1.07639,0.79878,0.76212,0.83572,0.63911,0.99523,1.71288,1.11504,0.000419693,0.000419693,0.000419693
80,1088.61,0.68305,0.54618,1.075,0.77409,0.76648,0.86548,0.66379,0.98279,1.53557,1.11158,0.000415215,0.000415215,0.000415215
81,1102.05,0.67513,0.55541,1.07727,0.74774,0.77941,0.86179,0.67182,0.9215,1.53059,1.07129,0.000410736,0.000410736,0.000410736
82,1115.67,0.68411,0.5632,1.07407,0.71629,0.76398,0.81849,0.61923,1.00801,1.6137,1.11313,0.000406258,0.000406258,0.000406258
83,1129.05,0.68765,0.55181,1.08055,0.77699,0.79539,0.84999,0.6399,0.98643,1.44502,1.09631,0.00040178,0.00040178,0.00040178
84,1142.55,0.67614,0.5444,1.07627,0.79118,0.7792,0.8543,0.67334,0.86505,1.45125,1.04236,0.000397302,0.000397302,0.000397302
85,1156.15,0.66418,0.5412,1.06711,0.83693,0.70799,0.8674,0.63586,1.03547,1.7851,1.13379,0.000392823,0.000392823,0.000392823
86,1169.56,0.67293,0.55278,1.07649,0.79372,0.70514,0.80972,0.60369,1.03165,1.9212,1.11275,0.000388345,0.000388345,0.000388345
87,1182.97,0.66872,0.54611,1.0675,0.77015,0.78191,0.84919,0.66711,0.87061,1.5332,1.06021,0.000383867,0.000383867,0.000383867
88,1196.44,0.66499,0.53943,1.06422,0.80197,0.7189,0.81021,0.6324,1.01822,1.75416,1.1157,0.000379388,0.000379388,0.000379388
89,1209.94,0.65914,0.54397,1.05394,0.79559,0.67488,0.80183,0.59733,1.11646,2.03408,1.17048,0.00037491,0.00037491,0.00037491
90,1223.38,0.65698,0.53187,1.06103,0.80923,0.79856,0.89205,0.70616,0.87812,1.45476,1.08161,0.000370432,0.000370432,0.000370432
91,1236.98,0.65258,0.52459,1.05531,0.77262,0.76543,0.84962,0.66859,0.93642,1.68138,1.08843,0.000365954,0.000365954,0.000365954
92,1250.4,0.64608,0.53006,1.05943,0.81061,0.74853,0.85132,0.65729,0.96357,1.61896,1.08856,0.000361475,0.000361475,0.000361475
93,1263.75,0.65174,0.52157,1.06259,0.78461,0.70712,0.81259,0.64057,0.95599,1.79856,1.08258,0.000356997,0.000356997,0.000356997
94,1277.18,0.64203,0.52393,1.0526,0.76617,0.7271,0.79866,0.62923,0.95099,1.93003,1.07484,0.000352519,0.000352519,0.000352519
95,1290.55,0.64856,0.53632,1.05948,0.74226,0.78608,0.84766,0.66207,0.93522,1.54429,1.06557,0.00034804,0.00034804,0.00034804
96,1303.97,0.63989,0.52001,1.05672,0.78511,0.68098,0.78349,0.59851,1.06616,1.87382,1.15694,0.000343562,0.000343562,0.000343562
97,1317.37,0.63636,0.51147,1.05355,0.77603,0.70651,0.8225,0.65408,0.90422,1.79492,1.08315,0.000339084,0.000339084,0.000339084
98,1330.94,0.63012,0.49998,1.05245,0.80993,0.69751,0.81752,0.62656,1.01997,2.04866,1.14003,0.000334605,0.000334605,0.000334605
99,1344.31,0.63649,0.50783,1.04799,0.79383,0.67615,0.8044,0.61737,1.01803,1.82447,1.11774,0.000330127,0.000330127,0.000330127
100,1357.7,0.62528,0.50238,1.04814,0.79654,0.72247,0.81382,0.61088,1.02968,1.72942,1.14132,0.000325649,0.000325649,0.000325649
101,1371.09,0.6262,0.50163,1.04842,0.78048,0.72419,0.7878,0.62074,0.92419,1.85832,1.07356,0.000321171,0.000321171,0.000321171
102,1384.7,0.6268,0.49728,1.05298,0.79238,0.75531,0.83213,0.67179,0.89853,1.6664,1.07635,0.000316692,0.000316692,0.000316692
103,1398.21,0.61588,0.50546,1.03943,0.75072,0.73177,0.8027,0.63936,0.90914,1.73189,1.09738,0.000312214,0.000312214,0.000312214
104,1411.63,0.61552,0.49719,1.04128,0.79279,0.74294,0.82986,0.65372,0.94406,1.74858,1.09634,0.000307736,0.000307736,0.000307736
105,1425.04,0.60069,0.4898,1.03946,0.76809,0.69195,0.81612,0.62787,1.02637,1.93833,1.1193,0.000303257,0.000303257,0.000303257
106,1438.41,0.60516,0.48085,1.03491,0.74712,0.66937,0.76168,0.58396,1.07318,2.0147,1.13018,0.000298779,0.000298779,0.000298779
107,1451.89,0.60487,0.50183,1.03512,0.7973,0.73456,0.81592,0.64571,0.94378,1.7104,1.09219,0.000294301,0.000294301,0.000294301
108,1465.37,0.61432,0.49408,1.03099,0.82499,0.6739,0.80047,0.63554,0.94102,2.01901,1.08242,0.000289823,0.000289823,0.000289823
109,1478.85,0.59336,0.46949,1.0276,0.79283,0.68798,0.80933,0.62796,1.02254,1.87562,1.12666,0.000285344,0.000285344,0.000285344
110,1492.38,0.59093,0.47238,1.02567,0.8227,0.65306,0.78182,0.60438,1.04927,2.14956,1.14517,0.000280866,0.000280866,0.000280866
111,1505.79,0.59205,0.46689,1.03285,0.77349,0.70152,0.80699,0.62924,0.95369,1.84681,1.08541,0.000276388,0.000276388,0.000276388
112,1519.3,0.58328,0.46392,1.02326,0.78806,0.67373,0.78472,0.61702,0.99357,2.02434,1.11762,0.000271909,0.000271909,0.000271909
113,1532.82,0.58797,0.47084,1.02189,0.80938,0.72175,0.813,0.61938,1.03723,1.99224,1.13692,0.000267431,0.000267431,0.000267431
114,1546.27,0.583,0.46057,1.02332,0.83352,0.66772,0.8083,0.60512,1.05497,2.16717,1.15042,0.000262953,0.000262953,0.000262953
