epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1392.38,0.72095,0.60478,1.10075,0.82441,0.76954,0.86754,0.66909,0.92228,1.54852,1.12593,0.000491346,0.000491346,0.000491346
64,1413.67,0.70727,0.58925,1.08975,0.74964,0.82657,0.89696,0.68487,0.99836,1.35973,1.12366,0.000486867,0.000486867,0.000486867
65,1434.86,0.71576,0.58929,1.0945,0.75868,0.74712,0.85255,0.65492,0.94791,1.57569,1.11694,0.000482389,0.000482389,0.000482389
66,1456.03,0.71677,0.58264,1.09167,0.78609,0.72738,0.86183,0.66381,0.90367,1.68887,1.09634,0.000477911,0.000477911,0.000477911
67,1477.25,0.70954,0.60475,1.09891,0.83098,0.82384,0.88766,0.65628,1.00182,1.42838,1.14892,0.000473433,0.000473433,0.000473433
68,1498.43,0.7123,0.58334,1.09941,0.75545,0.77977,0.87457,0.68557,0.87846,1.55631,1.12381,0.000468954,0.000468954,0.000468954
69,1519.52,0.70133,0.59585,1.08933,0.77113,0.85912,0.85438,0.64589,0.90966,1.19016,1.09842,0.000464476,0.000464476,0.000464476
70,1540.64,0.7025,0.57082,1.08156,0.79846,0.83613,0.89974,0.68485,0.92272,1.28401,1.09775,0.000459998,0.000459998,0.000459998
71,1561.78,0.70225,0.58161,1.0933,0.79967,0.8054,0.87019,0.64941,0.96744,1.29831,1.13242,0.000455519,0.000455519,0.000455519
72,1582.9,0.69195,0.57735,1.08165,0.8253,0.73939,0.83361,0.61512,0.97129,1.80892,1.16999,0.000451041,0.000451041,0.000451041
73,1604.14,0.679,0.55911,1.07247,0.78264,0.81075,0.85953,0.64423,0.95082,1.42289,1.13088,0.000446563,0.000446563,0.000446563
74,1625.38,0.68891,0.58086,1.08737,0.80952,0.84723,0.89051,0.66523,0.88917,1.17816,1.08629,0.000442085,0.000442085,0.000442085
75,1646.54,0.6634,0.54864,1.07071,0.80998,0.78948,0.87249,0.65357,0.98181,1.55388,1.14404,0.000437606,0.000437606,0.000437606
76,1667.66,0.67979,0.55991,1.08083,0.8113,0.80814,0.87057,0.66272,0.94431,1.33503,1.14206,0.000433128,0.000433128,0.000433128
77,1688.9,0.66673,0.54826,1.06985,0.80276,0.81139,0.85392,0.66644,0.90404,1.44285,1.09018,0.00042865,0.00042865,0.00042865
78,1710.07,0.66576,0.54618,1.07155,0.83034,0.69991,0.83417,0.63073,1.04734,1.89958,1.18404,0.000424171,0.000424171,0.000424171
79,1731.21,0.65511,0.53989,1.06252,0.80374,0.60167,0.74214,0.55979,1.01416,2.50886,1.17863,0.000419693,0.000419693,0.000419693
80,1752.46,0.6556,0.53079,1.05924,0.78538,0.78061,0.85644,0.64908,1.01518,1.71314,1.1595,0.000415215,0.000415215,0.000415215
81,1773.53,0.64299,0.5282,1.06017,0.78059,0.81056,0.85915,0.64721,0.94017,1.41956,1.13641,0.000410736,0.000410736,0.000410736
82,1795.18,0.65792,0.54555,1.06314,0.83339,0.76504,0.87086,0.65535,1.03379,1.66723,1.16938,0.000406258,0.000406258,0.000406258
83,1817.28,0.64744,0.53091,1.06219,0.79289,0.79479,0.85998,0.66493,0.94965,1.46575,1.09166,0.00040178,0.00040178,0.00040178
84,1839.2,0.64345,0.52575,1.0591,0.78862,0.77413,0.83877,0.64943,0.95757,1.57825,1.10154,0.000397302,0.000397302,0.000397302
85,1861.11,0.63501,0.52532,1.05275,0.82356,0.78049,0.8607,0.66209,0.97953,1.62283,1.14389,0.000392823,0.000392823,0.000392823
86,1883.14,0.64106,0.52397,1.06091,0.81047,0.79478,0.8577,0.64146,0.97997,1.49005,1.15161,0.000388345,0.000388345,0.000388345
87,1905.03,0.63444,0.51668,1.05077,0.81342,0.74796,0.84614,0.64494,0.9834,1.68275,1.17519,0.000383867,0.000383867,0.000383867
88,1926.95,0.63301,0.51885,1.04814,0.81122,0.6495,0.76915,0.58141,1.02435,2.10909,1.17637,0.000379388,0.000379388,0.000379388
89,1948.83,0.63097,0.5202,1.04326,0.78064,0.66298,0.78703,0.59169,1.10557,2.15254,1.22238,0.00037491,0.00037491,0.00037491
90,1970.76,0.62295,0.51355,1.0471,0.77947,0.79258,0.84851,0.64107,0.96587,1.4197,1.13395,0.000370432,0.000370432,0.000370432
91,1992.74,0.63271,0.51013,1.04985,0.79957,0.76218,0.84542,0.62982,0.99196,1.59787,1.13874,0.000365954,0.000365954,0.000365954
92,2014.6,0.61939,0.52086,1.05192,0.84411,0.77451,0.85854,0.64936,0.98756,1.66666,1.15378,0.000361475,0.000361475,0.000361475
93,2036.61,0.61443,0.49858,1.04961,0.80879,0.73196,0.82131,0.61542,1.08032,1.84682,1.19518,0.000356997,0.000356997,0.000356997
94,2058.9,0.60793,0.50107,1.04197,0.8105,0.74954,0.84241,0.64761,0.92643,1.6668,1.12159,0.000352519,0.000352519,0.000352519
95,2080.86,0.60941,0.50236,1.04117,0.80808,0.76191,0.85835,0.65017,0.95026,1.47494,1.1176,0.00034804,0.00034804,0.00034804
96,2102.76,0.60427,0.50194,1.04011,0.7711,0.77627,0.85398,0.61492,1.09817,1.60082,1.19667,0.000343562,0.000343562,0.000343562
97,2124.81,0.59983,0.48937,1.037,0.81935,0.79147,0.86163,0.62785,1.0179,1.57869,1.16853,0.000339084,0.000339084,0.000339084
98,2146.77,0.59441,0.48292,1.03733,0.81234,0.66497,0.7936,0.59569,1.09618,2.0888,1.21735,0.000334605,0.000334605,0.000334605
99,2168.69,0.59711,0.4817,1.03614,0.80095,0.69792,0.80051,0.61787,1.02424,1.93226,1.16259,0.000330127,0.000330127,0.000330127
100,2190.57,0.59217,0.48299,1.03774,0.77583,0.71731,0.80577,0.59734,1.11294,1.86142,1.23235,0.000325649,0.000325649,0.000325649
101,2212.54,0.58261,0.47621,1.02996,0.7971,0.70543,0.78997,0.60272,1.0216,1.89224,1.18305,0.000321171,0.000321171,0.000321171
102,2234.26,0.58347,0.47337,1.0337,0.81939,0.72891,0.81153,0.6142,1.0182,1.78451,1.14975,0.000316692,0.000316692,0.000316692
103,2256.15,0.57143,0.47941,1.02634,0.77768,0.65481,0.75795,0.58307,1.02318,2.08538,1.15915,0.000312214,0.000312214,0.000312214
104,2278.06,0.5785,0.46729,1.02483,0.78343,0.71298,0.81471,0.62804,0.97155,1.77265,1.1459,0.000307736,0.000307736,0.000307736
105,2300.04,0.5694,0.45763,1.02873,0.8397,0.64411,0.76186,0.58599,1.01148,2.18991,1.17039,0.000303257,0.000303257,0.000303257
106,2321.94,0.5724,0.46155,1.02361,0.79212,0.65409,0.78677,0.61442,1.06361,2.24892,1.20528,0.000298779,0.000298779,0.000298779
107,2344.2,0.5702,0.47693,1.02433,0.80964,0.72881,0.82655,0.64468,1.00787,1.85352,1.16192,0.000294301,0.000294301,0.000294301
